"Effect.Measure.v.descriptive","PMID","First.Author","Published","Year.Published","Include.area","Study.Funding.source.s.","Possible.Conflict.of.interest.for.study.authors","Study.purpose","Study.type","Vaccine.type","Vaccine.strategy","Number.doses.MVA.BN","Subcutaneous.or.intradermal.MVA.BN","Intervention.status","Dates.of.Outbreak","Country.of.outbreak","Population.description","Inclusion.Criteria","Exclusion.Criteria","Total.cohort.size.or.close.contact.pool","Case.report.forms.Complete.information..n.","Total.Cases.in.case.control","Total.control.in.case.control","loss.to.follow.up","Total.number.vaccinated.people","Historic.smallpox","PEP.or...14.days.after.1.dose","..1.dose.MVA.BN.vaccine.or.partially.vaccinated","..2.dose.MVA.BN.vaccine.or.fully.vaccinated","Subcutaneous","Intradermal","heterologous","Total.number.unvaccinated.people","unknown.vaccine.status","Episodes.outbreaks","Total.mpox.Cases","Total.vaccinated.mpox.cases","Total.vaccinated.mpox.historic.1st.gen.cases","Total.vaccinated.mpox.historic.2nd.gen.cases","Total.vaccinated.mpox.PEP.cases","Total.vaccinated.mpox.non.PEP.1.dose.cases","Total.vaccinated.mpox.2.dose","Total.unvaccinated.mpox.cases","Total.vaccinated.mpox.controls","Total.unvaccinated.mpox.controls","Notes.N","Measure..HR..IRR..RR..cumulative.incidence..attack.rate.etc.","..95..CI...67","Effect.measure","Dose","Adjusted","VE.type","Sensitivity","VE.outcome","Lower.CI","Upper.CI","Central.Effect.Estimate.reported","Effect.Est.lower.95.CI","Effect.Est.upper.95.CI","Regression.Coefficient","Regression.Coefficient.lower.95..CI","Regression.Coefficient.upper.95..CI","Vaccinated.secondary.cases","Unvaccinated.secondary.cases","Vaccinated.Contacts","Unvaccinated.Contacts","Vaccinated.or.cases.event","n.vaccinated.or.cases","unvaccinated..or.controls.event","n.unvaccinated.or.controls","unknown.or.missing.event.vaccinated","unknown.or.missing.total.n","Person.days.vaccinated","events.vaccinated","Person.days.unvaccinated","events.unvaccinated","crude.VE","..95..CI...97","Mean.vaccinated","sd.vaccinated","Mean.unvaccinated","sd.unvaccinated","Median.vaccinated","Lower.IQR.vaccinated","Upper.IQR.vaccinated","Median.unvaccinated","Lower.IQR.unvaccinated","Upper.IQR.unvaccinated","Controlled.for","Timing.of.measure","Cohort.Age...median.or.description.","Cohort.IQR.Age.lower","Cohort.IQR.Age.higher","Cohort.age.mean","Cohort.age.sd","Cohort.vaccinated.age.median","Cohort.unvaccinated.age.median","Cohort.unvaccinated.age.IQR","Cohort.unvaccinated.age.mean","Cohort.unvaccinated.age.sd","Cohort.age.unvaccinated..median","Cohort.age.unvaccinated.IQR","Cohort.age.vaccinated..mean","Cohort.age.vaccinated.sd","Monkeypox.cases.Age...median.","Monkeypox.cases.IQR.Age.lower","Monkeypox.cases.IQR.Age.higher","Monkeypox.controls.Age...median.","Monkeypox.controls.IQR.Age.lower","Monkeypox.controls.IQR.Age.higher","Cohort.cis.male.n","vaccinated..Male.n","unvaccinated..Male.n","cohort.MSM.n","vaccinated..MSM.n","unvaccinated.MSM.n","Monkeypox.cases.vaccinated.MSM.n","Monkeypox.cases.unvaccinated.MSM.n","Monkeypox.cases.vaccinated.non.MSM.n","Monkeypox.cases.unvaccinated.non.MSM.n","n.Non.Hispanic.White","Hispanic.Latino.n","Black.n....presumed","n.Known.HIV.status","n.HIV.positive","n.HIV.positive.vaccinated","n.HIV.positive.unvaccinated","n.CD4..200","n.VL...200","n.VL..50","n.PrEP.users","n.PrEP.users.vaccinated","n.PrEP.users.unvaccinated","n.Known.Hospital.status","n.Hospitalized","n.Hospitalized.vaccinated","n.Hospitalized.unvaccinated","n.not.hospitalized.vaccinated","n.not.hospitalized.unvaccinated","Limitations","...682","Internal.notes.for.coding"
"269","37678309","Hazra","Lancet Infectious Diseases",2024,"Severity","None","None","describe demographics of breakthrough vaccine cases or after prior infection","Case series","MVA-BN","Vaccination prior to exposure","2","subcutaneous or intradermal ( 14.30 2x subcutaneous, 8 subcutaneous/ID, 8 ID, ID)","Electronic health record","May 11 - Jan 30, 2022","International","at risk for mpox in 2022 outbreak","confirmed case of mpox after past infection by PCR positive, or confirmed case PCR positive from any anatomic site 14 days after 2 doses of vaccination","could not confirm vaccination status, partial immunization or received doses before May 1, 2022","37",37,30,8,NA,30,NA,NA,NA,NA,NA,NA,NA,8,NA,"1","37","30",NA,NA,NA,NA,NA,"8",NA,NA,NA,NA,95,"VE","2","N","MVA-BN Mpox severity score system",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,7,5.5,4,7,NA,NA,"36","30","34",NA,NA,"37 (30-45)","35 ( 31-37)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"37","30",8,"36","29","8",NA,NA,NA,NA,"28 (5 prior infection, 24 vaccination)","4 (3 prior infection, 1 vaccination)","2 (2 prior vaccination)",NA,"8","3","5","median most recent CD5 555 (IQ 363-979) overall, 452 (296-852 unvaccinated) and 925 (662-1244) vaccinated",NA,"8","24","22","3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"271","37769158","Brousseau","Clinical Infectious Diseases",2023,"Infection, Severity","Ministere de la Sante et des Services sociaux du Quebec","No","estimate VE of subcutaneous single-dose MVA-BN against symptomatic mpox including moderate to severe disease","Test negative case-control","MVA-BN","Vaccination prior to exposure","1","Subcutaneous","Several administrative and surveillance databases inc. mpox provincial immunization registry linked by Quebec unique health insurance number","Jun 19-Sept 24 2022","Canada","men over 18 high risk for mpox in Montreal","over 18 years old, specimens in high area of mpox in Montreal","women, positive before study period, specimens from non-skin lesions, asymptomatic, living outside the province, received 1 MVA-BN dose <14 days or 2doses at any time before specimen collection.","532",532,231,301,NA,161,NA,NA,NA,NA,NA,NA,NA,371,NA,"1","231","59",NA,NA,NA,NA,NA,"172",102,199,NA,"OR",95,"VE","1","Y","MVA-BN 1 dose Infection All-Admin","N","0.35","-0.02","0.59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"age, calendar time, STI tests and diagnosis, HIV status",NA,"broken in 18-29, 30-49, >=51",NA,NA,NA,NA,"Cases: 18-29 50, 30-49 143, >=51 38;  Contro: 18-29 90, 30-49 146, >=51 65;",NA,NA,NA,NA,NA,NA,NA,NA,"22% 18-29, 62% 30-49, 16%>=50",NA,NA,"30% 18-29, 49% 30-49, >=50 16%",NA,NA,"523",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"231","3","(1 ""moderate to severe vaccinated)","(11""moderate to severe unvaccinated"")",NA,NA,NA,NA,NA
"273","37769158","Brousseau","Clinical Infectious Diseases",2023,"Infection, Severity","Ministere de la Sante et des Services sociaux du Quebec","No","estimate VE of subcutaneous single-dose MVA-BN against symptomatic mpox including moderate to severe disease","Test negative case-control","MVA-BN","Vaccination prior to exposure","1","Subcutaneous","Several administrative and surveillance databases inc. mpox provincial immunization registry linked by Quebec unique health insurance number","Jun 19-Sept 24 2022","Canada","men over 18 high risk for mpox in Montreal","over 18 years old, specimens in high area of mpox in Montreal","women, positive before study period, specimens from non-skin lesions, asymptomatic, living outside the province, received 1 MVA-BN dose <14 days or 2doses at any time before specimen collection.","532",532,231,301,NA,161,NA,NA,NA,NA,NA,NA,NA,371,NA,"1","231","59",NA,NA,NA,NA,NA,"172",102,199,NA,"OR",95,"VE","1","Y","MVA-BN 1 dose moderate-severe disease","N","0.82","-0.5","0.98",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"age, calendar time, STI tests and diagnosis, HIV status",NA,"broken in 18-29, 30-49, >=51",NA,NA,NA,NA,"Cases: 18-29 50, 30-49 143, >=51 38;  Contro: 18-29 90, 30-49 146, >=51 65;",NA,NA,NA,NA,NA,NA,NA,NA,"22% 18-29, 62% 30-49, 16%>=50",NA,NA,"30% 18-29, 49% 30-49, >=50 16%",NA,NA,"523",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"231","3","(1 ""moderate to severe vaccinated)","(11""moderate to severe unvaccinated"")",NA,NA,NA,NA,NA
"275","37769158","Brousseau","Clinical Infectious Diseases",2023,"Infection, Severity","Ministere de la Sante et des Services sociaux du Quebec","No","estimate VE of subcutaneous single-dose MVA-BN against symptomatic mpox including moderate to severe disease","Test negative case-control","MVA-BN","Vaccination prior to exposure","1","Subcutaneous","Several administrative and surveillance databases inc. mpox provincial immunization registry linked by Quebec unique health insurance number","Jun 19-Sept 24 2022","Canada","men over 18 high risk for mpox in Montreal","over 18 years old, specimens in high area of mpox in Montreal","women, positive before study period, specimens from non-skin lesions, asymptomatic, living outside the province, received 1 MVA-BN dose <14 days or 2doses at any time before specimen collection.","199",199,91,108,NA,87,NA,NA,NA,NA,NA,NA,NA,112,NA,"1","91","34",NA,NA,NA,NA,NA,"57",53,55,NA,"OR",95,"VE","1","Y","MVA-BN  1 dose Infection Sub-Quest adjusted- just all admin data","Y","0.3","-0.38","0.64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"age, calendar time, STI tests and diagnosis, HIV status",NA,"broken in 18-29, 30-49, >=53",NA,NA,NA,NA,"Cases: 18-29 50, 30-49 143, >=51 38;  Contro: 18-29 90, 30-49 146, >=51 65;",NA,NA,NA,NA,NA,NA,NA,NA,"23% 18-29, 63% 30-49, 14%>=51",NA,NA,"26% 18-29, 51% 30-49, >=50 23%",NA,NA,"193",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"199","93 (51 case, 42 control)",NA,NA,NA,NA,NA,"79 (43 cases, 36 controls)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276","37769158","Brousseau","Clinical Infectious Diseases",2023,"Infection, Severity","Ministere de la Sante et des Services sociaux du Quebec","No","estimate VE of subcutaneous single-dose MVA-BN against symptomatic mpox including moderate to severe disease","Test negative case-control","MVA-BN","Vaccination prior to exposure","1","Subcutaneous","Several administrative and surveillance databases inc. mpox provincial immunization registry linked by Quebec unique health insurance number","Jun 19-Sept 24 2022","Canada","men over 18 high risk for mpox in Montreal","over 18 years old, specimens in high area of mpox in Montreal","women, positive before study period, specimens from non-skin lesions, asymptomatic, living outside the province, received 1 MVA-BN dose <14 days or 2doses at any time before specimen collection.","199",199,91,108,NA,87,NA,NA,NA,NA,NA,NA,NA,112,NA,"1","91","34",NA,NA,NA,NA,NA,"57",53,55,NA,"OR",95,"VE","1","Y","MVA-BN  1 dose Infection Sub-Quest adjusted- with survey data","N","0.65","0.01","0.87",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"age, calendar time, STI tests and diagnosis, HIV/PReP use, HIV status, ethnicity, immunosuppression,  contact with mpox individuals, drug use before sexual activity, number sexual partners, attending sex on premise venues, skin to skin contact during festive events",NA,"broken in 18-29, 30-49, >=54",NA,NA,NA,NA,"Cases: 18-29 50, 30-49 143, >=51 38;  Contro: 18-29 90, 30-49 146, >=51 65;",NA,NA,NA,NA,NA,NA,NA,NA,"23% 18-29, 63% 30-49, 14%>=52",NA,NA,"26% 18-29, 51% 30-49, >=50 23%",NA,NA,"193",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"199","94 (51 case, 42 control)",NA,NA,NA,NA,NA,"79 (43 cases, 36 controls)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"277","37769158","Brousseau","Clinical Infectious Diseases",2023,"Infection, Severity","Ministere de la Sante et des Services sociaux du Quebec","No","estimate VE of subcutaneous single-dose MVA-BN against symptomatic mpox including moderate to severe disease","Test negative case-control","MVA-BN","Vaccination prior to exposure","1","Subcutaneous","Several administrative and surveillance databases inc. mpox provincial immunization registry linked by Quebec unique health insurance number","Jun 19-Sept 24 2022","Canada","men over 18 high risk for mpox in Montreal","over 18 years old, specimens in high area of mpox in Montreal","women, positive before study period, specimens from non-skin lesions, asymptomatic, living outside the province, received 1 MVA-BN dose <14 days or 2doses at any time before specimen collection.","199",199,91,108,NA,87,NA,NA,NA,NA,NA,NA,NA,112,NA,"1","91","34",NA,NA,NA,NA,NA,"57",53,55,NA,"OR",95,"VE","1","Y","MVA-BN  1 dose Infection Sub-Quest adjusted- with survey data, adults 18-49 yo","Y","0.75","0.23","0.92",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"age, calendar time, STI tests and diagnosis, HIV/PReP use, HIV status, ethnicity, immunosuppression,  contact with mpox individuals, drug use before sexual activity, number sexual partners, attending sex on premise venues, skin to skin contact during festive events",NA,"broken in 18-29, 30-49, >=54",NA,NA,NA,NA,"Cases: 18-29 50, 30-49 143, >=51 38;  Contro: 18-29 90, 30-49 146, >=51 65;",NA,NA,NA,NA,NA,NA,NA,NA,"23% 18-29, 63% 30-49, 14%>=52",NA,NA,"26% 18-29, 51% 30-49, >=50 23%",NA,NA,"193",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"199","95 (51 case, 42 control)",NA,NA,NA,NA,NA,"79 (43 cases, 36 controls)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"491","37769158","Brousseau","Clinical Infectious Diseases",2023,"Infection, Severity","Ministere de la Sante et des Services sociaux du Quebec","No","estimate VE of subcutaneous single-dose MVA-BN against symptomatic mpox including moderate to severe disease","Test negative case-control","MVA-BN","Vaccination prior to exposure","1","Subcutaneous","Several administrative and surveillance databases inc. mpox provincial immunization registry linked by Quebec unique health insurance number","Jun 19-Sept 24 2022","Canada","men over 18 high risk for mpox in Montreal","over 18 years old, specimens in high area of mpox in Montreal","women, positive before study period, specimens from non-skin lesions, asymptomatic, living outside the province, received 1 MVA-BN dose <14 days or 2doses at any time before specimen collection.","199",199,91,108,NA,87,NA,NA,NA,NA,NA,NA,NA,112,NA,"1","91","34",NA,NA,NA,NA,NA,"57",53,55,NA,"OR",95,"VE","1","Y","MVA-BN  1 dose Infection Sub-Quest extended study period 29 May -24 Sept epi week 22-38","Y","0.55000000000000004","-0.16","0.83",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"age, calendar time, STI tests and diagnosis, HIV/PReP use, HIV status, ethnicity, immunosuppression,  contact with mpox individuals, drug use before sexual activity, number sexual partners, attending sex on premise venues, skin to skin contact during festive events",NA,"broken in 18-29, 30-49, >=54",NA,NA,NA,NA,"Cases: 18-29 50, 30-49 143, >=51 38;  Contro: 18-29 90, 30-49 146, >=51 65;",NA,NA,NA,NA,NA,NA,NA,NA,"23% 18-29, 63% 30-49, 14%>=52",NA,NA,"26% 18-29, 51% 30-49, >=50 23%",NA,NA,"193",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"199","96 (51 case, 42 control)",NA,NA,NA,NA,NA,"79 (43 cases, 36 controls)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"492","37769158","Brousseau","Clinical Infectious Diseases",2023,"Infection, Severity","Ministere de la Sante et des Services sociaux du Quebec","No","estimate VE of subcutaneous single-dose MVA-BN against symptomatic mpox including moderate to severe disease","Test negative case-control","MVA-BN","Vaccination prior to exposure","1","Subcutaneous","Several administrative and surveillance databases inc. mpox provincial immunization registry linked by Quebec unique health insurance number","Jun 19-Sept 24 2022","Canada","men over 18 high risk for mpox in Montreal","over 18 years old, specimens in high area of mpox in Montreal","women, positive before study period, specimens from non-skin lesions, asymptomatic, living outside the province, received 1 MVA-BN dose <14 days or 2doses at any time before specimen collection.","199",199,91,108,NA,87,NA,NA,NA,NA,NA,NA,NA,112,NA,"1","91","34",NA,NA,NA,NA,NA,"57",53,55,NA,"OR",95,"VE","1","Y","MVA-BN  1 dose Infection Sub-Quest extended study period 19 June  -5 No epi week 25-44","Y","0.63","0","0.87",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"age, calendar time, STI tests and diagnosis, HIV/PReP use, HIV status, ethnicity, immunosuppression,  contact with mpox individuals, drug use before sexual activity, number sexual partners, attending sex on premise venues, skin to skin contact during festive events",NA,"broken in 18-29, 30-49, >=54",NA,NA,NA,NA,"Cases: 18-29 50, 30-49 143, >=51 38;  Contro: 18-29 90, 30-49 146, >=51 65;",NA,NA,NA,NA,NA,NA,NA,NA,"23% 18-29, 63% 30-49, 14%>=52",NA,NA,"26% 18-29, 51% 30-49, >=50 23%",NA,NA,"193",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"199","97 (51 case, 42 control)",NA,NA,NA,NA,NA,"79 (43 cases, 36 controls)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"493","37769158","Brousseau","Clinical Infectious Diseases",2023,"Infection, Severity","Ministere de la Sante et des Services sociaux du Quebec","No","estimate VE of subcutaneous single-dose MVA-BN against symptomatic mpox including moderate to severe disease","Test negative case-control","MVA-BN","Vaccination prior to exposure","1","Subcutaneous","Several administrative and surveillance databases inc. mpox provincial immunization registry linked by Quebec unique health insurance number","Jun 19-Sept 24 2022","Canada","men over 18 high risk for mpox in Montreal","over 18 years old, specimens in high area of mpox in Montreal","women, positive before study period, specimens from non-skin lesions, asymptomatic, living outside the province, received 1 MVA-BN dose <14 days or 2doses at any time before specimen collection.","199",199,91,108,NA,87,NA,NA,NA,NA,NA,NA,NA,112,NA,"1","91","34",NA,NA,NA,NA,NA,"57",53,55,NA,"OR",95,"VE","1","Y","MVA-BN  1 dose Infection Sub-Quest extended study period 29 May  -5 No epi week 22-44","Y","0.54","-0.18","0.82",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"age, calendar time, STI tests and diagnosis, HIV/PReP use, HIV status, ethnicity, immunosuppression,  contact with mpox individuals, drug use before sexual activity, number sexual partners, attending sex on premise venues, skin to skin contact during festive events",NA,"broken in 18-29, 30-49, >=54",NA,NA,NA,NA,"Cases: 18-29 50, 30-49 143, >=51 38;  Contro: 18-29 90, 30-49 146, >=51 65;",NA,NA,NA,NA,NA,NA,NA,NA,"23% 18-29, 63% 30-49, 14%>=52",NA,NA,"26% 18-29, 51% 30-49, >=50 23%",NA,NA,"193",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"199","98 (51 case, 42 control)",NA,NA,NA,NA,NA,"79 (43 cases, 36 controls)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"494","37769158","Brousseau","Clinical Infectious Diseases",2023,"Infection, Severity","Ministere de la Sante et des Services sociaux du Quebec","No","estimate VE of subcutaneous single-dose MVA-BN against symptomatic mpox including moderate to severe disease","Test negative case-control","MVA-BN","Vaccination prior to exposure","1","Subcutaneous","Several administrative and surveillance databases inc. mpox provincial immunization registry linked by Quebec unique health insurance number","Jun 19-Sept 24 2022","Canada","men over 18 high risk for mpox in Montreal","over 18 years old, specimens in high area of mpox in Montreal","women, positive before study period, specimens from non-skin lesions, asymptomatic, living outside the province, received 1 MVA-BN dose <14 days or 2doses at any time before specimen collection.","199",199,91,108,NA,87,NA,NA,NA,NA,NA,NA,NA,112,NA,"1","91","34",NA,NA,NA,NA,NA,"57",53,55,NA,"OR",95,"VE","1","Y","MVA-BN  1 dose Infection Sub-Quest vaccinated >=21 d before specimen collection","Y","52","-0.45","0.84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"age, calendar time, STI tests and diagnosis, HIV/PReP use, HIV status, ethnicity, immunosuppression,  contact with mpox individuals, drug use before sexual activity, number sexual partners, attending sex on premise venues, skin to skin contact during festive events",NA,"broken in 18-29, 30-49, >=54",NA,NA,NA,NA,"Cases: 18-29 50, 30-49 143, >=51 38;  Contro: 18-29 90, 30-49 146, >=51 65;",NA,NA,NA,NA,NA,NA,NA,NA,"23% 18-29, 63% 30-49, 14%>=52",NA,NA,"26% 18-29, 51% 30-49, >=50 23%",NA,NA,"193",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"199","99 (51 case, 42 control)",NA,NA,NA,NA,NA,"79 (43 cases, 36 controls)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"494","37769158","Brousseau","Clinical Infectious Diseases",2023,"Infection, Severity","Ministere de la Sante et des Services sociaux du Quebec","No","estimate VE of subcutaneous single-dose MVA-BN against symptomatic mpox including moderate to severe disease","Test negative case-control","MVA-BN","Vaccination prior to exposure","1","Subcutaneous","Several administrative and surveillance databases inc. mpox provincial immunization registry linked by Quebec unique health insurance number","Jun 19-Sept 24 2022","Canada","men over 18 high risk for mpox in Montreal","over 18 years old, specimens in high area of mpox in Montreal","women, positive before study period, specimens from non-skin lesions, asymptomatic, living outside the province, received 1 MVA-BN dose <14 days or 2doses at any time before specimen collection.","199",199,91,108,NA,87,NA,NA,NA,NA,NA,NA,NA,112,NA,"1","91","34",NA,NA,NA,NA,NA,"57",53,55,NA,"OR",95,"VE","1","Y","MVA-BN  1 dose Infection Sub-Quest18-49 yo","Y","0.75","0.23","0.92",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"age, calendar time, STI tests and diagnosis, HIV/PReP use, HIV status, ethnicity, immunosuppression,  contact with mpox individuals, drug use before sexual activity, number sexual partners, attending sex on premise venues, skin to skin contact during festive events",NA,"broken in 18-29, 30-49, >=54",NA,NA,NA,NA,"Cases: 18-29 50, 30-49 143, >=51 38;  Contro: 18-29 90, 30-49 146, >=51 65;",NA,NA,NA,NA,NA,NA,NA,NA,"23% 18-29, 63% 30-49, 14%>=52",NA,NA,"26% 18-29, 51% 30-49, >=50 23%",NA,NA,"193",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"199","100 (51 case, 42 control)",NA,NA,NA,NA,NA,"79 (43 cases, 36 controls)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"496","37769158","Brousseau","Clinical Infectious Diseases",2023,"Infection, Severity","Ministere de la Sante et des Services sociaux du Quebec","No","estimate VE of subcutaneous single-dose MVA-BN against symptomatic mpox including moderate to severe disease","Test negative case-control","MVA-BN","Vaccination prior to exposure","1","Subcutaneous","Several administrative and surveillance databases inc. mpox provincial immunization registry linked by Quebec unique health insurance number","Jun 19-Sept 24 2022","Canada","men over 18 high risk for mpox in Montreal","over 18 years old, specimens in high area of mpox in Montreal","women, positive before study period, specimens from non-skin lesions, asymptomatic, living outside the province, received 1 MVA-BN dose <14 days or 2doses at any time before specimen collection.","199",199,91,108,NA,87,NA,NA,NA,NA,NA,NA,NA,112,NA,"1","91","34",NA,NA,NA,NA,NA,"57",53,55,NA,"OR",95,"VE","1","Y","MVA-BN 1 dose Infection Sub-Quest persons with HIV or taking PrEP","Y","0.5","-0.71","0.85",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"age, calendar time, STI tests and diagnosis, HIV/PReP use, HIV status, ethnicity, immunosuppression,  contact with mpox individuals, drug use before sexual activity, number sexual partners, attending sex on premise venues, skin to skin contact during festive events",NA,"broken in 18-29, 30-49, >=54",NA,NA,NA,NA,"Cases: 18-29 50, 30-49 143, >=51 38;  Contro: 18-29 90, 30-49 146, >=51 65;",NA,NA,NA,NA,NA,NA,NA,NA,"23% 18-29, 63% 30-49, 14%>=52",NA,NA,"26% 18-29, 51% 30-49, >=50 23%",NA,NA,"193",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"199","101 (51 case, 42 control)",NA,NA,NA,NA,NA,"79 (43 cases, 36 controls)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"279","37318762","Morales","Eurosurveillance",2023,"Infection","None noted","None","assess PEP VE in early 2022 outbreak","Dynamic prospective cohort","MVA-BN","PEP","1","Subcutaneous","Administer MVA-BN in clinic after epidemiologic investigation of contacts of known cases","May - Aug 2022","Spain","contacts of known mpox cases in Spain, early 2022","Close contacts of known confirmed symptomatic mpox cases via contact with body fluids or lesions, contacted fomites or clinical samples without PPE a","index case could not be laboratory confirmed, contact with compatible mpox symptoms and etiology could not be confirmed, date of risk of contact not established or risk of exposure during follow up outside the home","491",484,NA,NA,NA,230,NA,NA,NA,NA,NA,NA,NA,254,NA,"1","57","8",NA,NA,NA,NA,NA,"49",NA,NA,NA,"HR",95,"VE","1","Y","1 dose MVA-BN PEP","N","0.88800000000000001","0.76","0.94699999999999995",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6099,8,5774,49,0.844,".664-.928",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35 (31-40)","34 (30-38)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7","40",NA,NA,NA,NA,NA,NA,"25","4","21",NA,NA,NA,"10 (0 vaccinated, 10 unvaccinated)",NA,NA,NA,"1","0","1",NA,NA,NA,NA,NA
"280","37318762","Morales","Eurosurveillance",2023,"Infection","None noted","None","assess PEP VE in early 2022 outbreak","Dynamic prospective cohort","MVA-BN","PEP","1","Subcutaneous","Administer MVA-BN in clinic after epidemiologic investigation of contacts of known cases","May - Aug 2022","Spain","contacts of known mpox cases in Spain, early 2023","Close contacts of known confirmed symptomatic mpox cases via contact with body fluids or lesions, contacted fomites or clinical samples without PPE a","index case could not be laboratory confirmed, contact with compatible mpox symptoms and etiology could not be confirmed, date of risk of contact month established or risk of exposure during follow up outside the home","491",484,NA,NA,NA,230,NA,NA,NA,NA,NA,NA,NA,254,NA,"1","57","8",NA,NA,NA,NA,NA,"49",NA,NA,NA,"HR",95,"VE","1","Y","MVA-BN 0-6 days exposure to vacciantion","N","0.85499999999999998","0.39300000000000002","0.96599999999999997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1152,2,5774,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35 (31-40)","34 (30-38)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7","40",NA,NA,NA,NA,NA,NA,"25","4","21",NA,NA,NA,"11 (0 vaccinated, 10 unvaccinated)",NA,NA,NA,"1","0","1",NA,NA,NA,NA,NA
